metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,evolution,participation,depot,annee,date_created,source
e39f3613-81a2-49a1-82bc-85c9703fd227,6edb24d3-a85b-48dc-9436-22ecb08e79eb,84.25,77.94,88.64,86.32,83.78,81.58,78.86,A,Stable,Obligatoire,Oui,2024,,IQSS
e39f3613-81a2-49a1-82bc-85c9703fd227,67fe6700-f1b7-4197-b022-5ade89046898,84.25,77.94,88.64,86.32,83.78,81.58,78.86,A,Stable,Obligatoire,Oui,2024,,IQSS
d577a956-6051-49d1-bd73-158123d5a638,08ca3bb9-6d45-473a-a134-13279c399f0d,79.66,77.94,85.5,84.18,78.55,65.87,72.95,A,Stable,Obligatoire,Oui,2024,,IQSS
d577a956-6051-49d1-bd73-158123d5a638,26a75730-8833-419a-94f5-49a7ba9f1d43,79.66,77.94,85.5,84.18,78.55,65.87,72.95,A,Stable,Obligatoire,Oui,2024,,IQSS
593d8f49-1255-4680-b717-2c90edf69428,bc00c699-a168-4fe3-9546-4f3136993c4b,76.19,77.94,83.02,80.8,81.67,59.09,64.83,B,Amélioration,Facultatif,Oui,2024,,IQSS
593d8f49-1255-4680-b717-2c90edf69428,947cf6ae-3350-4e90-8640-2f9f9b7722da,76.19,77.94,83.02,80.8,81.67,59.09,64.83,B,Amélioration,Facultatif,Oui,2024,,IQSS
5de53f81-da1b-493a-b6d2-77e1d4578838,3379c18d-2cd8-4962-b971-e4ecfaf3c73b,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
5de53f81-da1b-493a-b6d2-77e1d4578838,ef31558f-6260-4830-9763-e51baec62c0e,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
abb738d4-edfc-4999-8fd9-8bf697f80317,5359c3e9-c3b3-47df-bda1-ccb8dfc3dbe1,82.37,77.94,89.99,86.64,79.72,73.26,74.36,A,Stable,Obligatoire,Oui,2024,,IQSS
abb738d4-edfc-4999-8fd9-8bf697f80317,4f04af4d-d45f-4e9c-b572-12ece42cabb6,82.37,77.94,89.99,86.64,79.72,73.26,74.36,A,Stable,Obligatoire,Oui,2024,,IQSS
9a77d966-68c1-4e0c-ba10-4358ac5cd0d1,6ba8b69c-c38f-46a6-b347-bc8bf77c8b14,75.73,77.94,79.01,80.2,77.17,58.75,71.08,B,Non calculable,Facultatif,Oui,2024,,IQSS
9a77d966-68c1-4e0c-ba10-4358ac5cd0d1,9805eedc-abee-4ce1-a359-c8dc1f438850,75.73,77.94,79.01,80.2,77.17,58.75,71.08,B,Non calculable,Facultatif,Oui,2024,,IQSS
557d1265-432e-4e1c-9da7-c954cb5b33a8,ed6b5061-6832-4374-a985-d0c79ba394ee,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
557d1265-432e-4e1c-9da7-c954cb5b33a8,11d37063-1faf-4801-931b-241f70c38811,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
43e892ae-8013-46f7-8b13-ce205470c8c7,20483eb4-9b7c-4147-8472-4ce5da58dcb2,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
43e892ae-8013-46f7-8b13-ce205470c8c7,90146002-9246-4e36-af81-16a8c9723fee,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
d1245470-938f-4047-bc76-929c28c7e8f5,dadf75ce-0499-44c1-b1d5-d2c24c881a4d,80.79,76.05,84.71,83.48,82.2,75.51,72.95,A,Stable,Facultatif,Oui,2024,,IQSS
d1245470-938f-4047-bc76-929c28c7e8f5,1ee6c2c1-9ecc-46a4-8695-735e0c7a5528,80.79,76.05,84.71,83.48,82.2,75.51,72.95,A,Stable,Facultatif,Oui,2024,,IQSS
a7d04194-87f7-43ee-8552-b434f3f49281,3514b049-0b4f-497a-b404-466f646e03e6,78.33,76.05,83.58,79.68,80.91,77.11,70.45,A,Stable,Facultatif,Oui,2024,,IQSS
a7d04194-87f7-43ee-8552-b434f3f49281,18dbd0f1-f831-4c3f-9128-b0f176eea9bd,78.33,76.05,83.58,79.68,80.91,77.11,70.45,A,Stable,Facultatif,Oui,2024,,IQSS
ee032983-c236-4bb0-a87b-522c9e506c60,1d08d9c3-73f1-4452-a3c8-b4637884dc66,77.05,76.05,83.06,81.48,80.88,54.93,70.65,A,Amélioration,Obligatoire,Oui,2024,,IQSS
ee032983-c236-4bb0-a87b-522c9e506c60,3885c5c6-9a69-4e8f-959f-6ca53e17465e,77.05,76.05,83.06,81.48,80.88,54.93,70.65,A,Amélioration,Obligatoire,Oui,2024,,IQSS
88ac3bda-56a5-4645-ab29-abc7502c9496,b6d92466-4fc9-426d-a695-b0f0e9399f57,79.91,76.05,88.14,83.19,72.44,80.39,74.52,A,Stable,Obligatoire,Oui,2024,,IQSS
88ac3bda-56a5-4645-ab29-abc7502c9496,838b153a-8262-4e4d-a4df-4e19906c5758,79.91,76.05,88.14,83.19,72.44,80.39,74.52,A,Stable,Obligatoire,Oui,2024,,IQSS
8f71aa0d-cade-431f-8d12-7d5847aa4c4f,e8845316-cf1e-4fe5-99eb-5d4d45d1959d,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
8f71aa0d-cade-431f-8d12-7d5847aa4c4f,0f76e386-0441-41f2-93b5-9e17f9c79860,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
fe2501db-a941-433a-a592-da718606ddb1,415faaa4-65aa-41bf-ab61-59d0c6e08956,77.73,76.05,84.28,81.06,77.75,69.04,69.92,A,Amélioration,Obligatoire,Oui,2024,,IQSS
fe2501db-a941-433a-a592-da718606ddb1,96db1990-d414-4008-805f-66e10eead1fd,77.73,76.05,84.28,81.06,77.75,69.04,69.92,A,Amélioration,Obligatoire,Oui,2024,,IQSS
41b8e219-d817-4921-869d-07a0791f0f83,f6250890-f97f-46c2-8ffe-51df31bbbdf2,75.32,76.05,81.53,78.49,74.06,70.18,67.66,B,Stable,Obligatoire,Oui,2024,,IQSS
41b8e219-d817-4921-869d-07a0791f0f83,c91e9a24-03e8-4c87-8b4f-5f92a2495f66,75.32,76.05,81.53,78.49,74.06,70.18,67.66,B,Stable,Obligatoire,Oui,2024,,IQSS
1ce7c81d-5578-45a0-b11e-20e4bd89ce39,2524a96d-b837-4a8c-9711-052033e6a2ef,71.47,76.05,73.31,74.29,75.81,61.48,64.56,C,Diminution,Facultatif,Oui,2024,,IQSS
1ce7c81d-5578-45a0-b11e-20e4bd89ce39,6ac0364e-d05d-4c38-be09-c007e2cb32e3,71.47,76.05,73.31,74.29,75.81,61.48,64.56,C,Diminution,Facultatif,Oui,2024,,IQSS
c7ec9fb6-92ca-484e-b2db-e0367253a487,ac1251e5-0c21-4a59-a3d7-98bd11716555,72.92,76.05,81.02,77.37,73.43,64.55,60.63,B,Stable,Facultatif,Oui,2024,,IQSS
c7ec9fb6-92ca-484e-b2db-e0367253a487,7d08a944-dfd0-4a4d-b04d-532478d76f71,72.92,76.05,81.02,77.37,73.43,64.55,60.63,B,Stable,Facultatif,Oui,2024,,IQSS
0f8f69bd-5348-443b-8e1b-230c473f419a,1487c764-8dc7-4a68-9e48-46023dbc574a,76.11,76.05,81.5,78.98,77.19,70.51,67.98,B,Stable,Obligatoire,Oui,2024,,IQSS
0f8f69bd-5348-443b-8e1b-230c473f419a,a22df33c-5563-4f7c-94b1-f733793351e8,76.11,76.05,81.5,78.98,77.19,70.51,67.98,B,Stable,Obligatoire,Oui,2024,,IQSS
a12757f6-3b3d-47cc-8d99-351ffff5bc10,5f83a04d-f029-4d26-a330-97c3445db70c,71.29,76.05,77.79,75.48,70.26,58.76,64.7,C,Amélioration,Obligatoire,Oui,2024,,IQSS
a12757f6-3b3d-47cc-8d99-351ffff5bc10,dd09d3ad-2f58-4de7-8a3d-cec54a502cb0,71.29,76.05,77.79,75.48,70.26,58.76,64.7,C,Amélioration,Obligatoire,Oui,2024,,IQSS
860342fc-ebdc-4cf2-88dd-4689fdc2e175,26492afc-6632-4236-99a6-b2ed903a59e8,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
860342fc-ebdc-4cf2-88dd-4689fdc2e175,97148ada-bc5e-4c65-b724-bf1ff77b10bb,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
