metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,annee,date_created,source
3814dff6-0187-449a-87f6-51097d499f2d,366be659-e18d-4227-b019-7bf0640f2117,74.15,75.36,80.83,76.29,78.82,63.68,65.19,B,2024,,IQSS
e51c7174-cc32-410c-b409-3c9e1f7dbb18,0f53b7ca-eb2f-45b5-9d6c-790e76ec9853,,,,,,,,NV,2024,,IQSS
e51c7174-cc32-410c-b409-3c9e1f7dbb18,97baec27-1cbd-4bb7-a349-d90eb5cc8265,,,,,,,,NV,2024,,IQSS
6b44a0f6-33ca-40ee-a57e-ea8039afeb27,7a5a0af6-3143-42be-8408-ca35d1f95704,,,,,,,,DI,2024,,IQSS
6b44a0f6-33ca-40ee-a57e-ea8039afeb27,18f93ffb-907e-4bca-9d47-d3ccf7f5de26,,,,,,,,DI,2024,,IQSS
8fab0ea6-1bc6-4553-9f63-f93e979ad38c,f97ce5de-cb25-41e8-ac51-6b7e2c5d1e81,,,,,,,,DI,2024,,IQSS
8fab0ea6-1bc6-4553-9f63-f93e979ad38c,3c832308-5754-4fe3-8837-73cf881b54f9,,,,,,,,DI,2024,,IQSS
f726f661-1cb8-4d6a-a023-bc58b813d7c2,d1479686-2540-4260-8973-fdd3546efc33,,,,,,,,NV,2024,,IQSS
f726f661-1cb8-4d6a-a023-bc58b813d7c2,d4b56d4d-5f74-4806-9590-7c322b8109bc,,,,,,,,NV,2024,,IQSS
f041df50-8e2d-4977-8f83-26811b18b588,d83d6790-d025-45d4-af95-294f10e93dcb,73.97,75.36,83.4,80.4,66.01,58.15,69.63,B,2024,,IQSS
f041df50-8e2d-4977-8f83-26811b18b588,8efa3e50-bc52-4583-bee3-c64a5b5a18d0,73.97,75.36,83.4,80.4,66.01,58.15,69.63,B,2024,,IQSS
8c043382-256e-49cd-aebb-9f9bfaa05cb5,fe18bc00-2750-4d84-af30-3d24d678408c,79.25,75.36,91.47,81.97,69.54,83.26,73.43,A,2024,,IQSS
8c043382-256e-49cd-aebb-9f9bfaa05cb5,86db4afc-f5ee-4718-a0db-07daf697ea76,79.25,75.36,91.47,81.97,69.54,83.26,73.43,A,2024,,IQSS
09e41bfd-b843-4688-9ec8-3d4d8cb1b02a,8083308f-2c90-408e-b35b-4e07ed270ada,65.08,75.36,65.94,66.29,74.93,51.83,57.97,D,2024,,IQSS
09e41bfd-b843-4688-9ec8-3d4d8cb1b02a,3b545f6e-3b9b-425f-aa91-c120cae44259,65.08,75.36,65.94,66.29,74.93,51.83,57.97,D,2024,,IQSS
b6c906b1-ce93-484e-86c9-dbd25a5900bb,3692ec53-e59b-4875-ab94-15be98b877ee,,,,,,,,DI,2024,,IQSS
b6c906b1-ce93-484e-86c9-dbd25a5900bb,f281439f-f109-49e5-ba84-7446893ed4a0,,,,,,,,DI,2024,,IQSS
a416de0d-7174-4fcc-850b-3c43b3324cf7,244afe69-6ece-41b9-b10f-cc14ed5b8c0d,66.39,75.36,72.66,67.88,74.54,58.58,54.84,D,2024,,IQSS
a416de0d-7174-4fcc-850b-3c43b3324cf7,b4cae8be-c8b8-49d6-9e05-7d7e309919e7,66.39,75.36,72.66,67.88,74.54,58.58,54.84,D,2024,,IQSS
d60a4667-e3d7-408f-bd7b-d5e67c2b73a8,42771d02-3b8e-455d-a85a-9d254ffee600,73.85,75.36,78.53,75.64,82.08,60.55,66.04,B,2024,,IQSS
d60a4667-e3d7-408f-bd7b-d5e67c2b73a8,cbd49f0e-b7fa-4de9-8b50-2bcc48057968,73.85,75.36,78.53,75.64,82.08,60.55,66.04,B,2024,,IQSS
aeed01f6-3bf1-42db-8002-4523e7857683,07494df6-b47d-4291-be9e-ff9f0199bc7e,70.69,75.36,74.97,73.57,72.14,63.51,63.24,C,2024,,IQSS
aeed01f6-3bf1-42db-8002-4523e7857683,c00e8485-c562-44f1-858e-fac2711dd2dd,70.69,75.36,74.97,73.57,72.14,63.51,63.24,C,2024,,IQSS
ac04a977-68b3-45ab-a88d-6e9f02a1a6a1,de9e340a-90d7-4a41-a574-9f8745bc2f2e,78.31,76.82,88.09,85.75,77.01,41.6,76.94,A,2024,,IQSS
ac04a977-68b3-45ab-a88d-6e9f02a1a6a1,74f1ce00-43ed-4224-8e84-7e057f792348,78.31,76.82,88.09,85.75,77.01,41.6,76.94,A,2024,,IQSS
9f400227-f9cc-4a80-97c4-0ddd242777b0,dc5df2c2-59f2-4191-8713-2a5217f3b6c8,,,,,,,,DI,2024,,IQSS
9f400227-f9cc-4a80-97c4-0ddd242777b0,e3c9aba7-d6df-459c-8a08-42b481de7266,,,,,,,,DI,2024,,IQSS
7695516a-e6ef-4e83-a618-178f9ac6b58f,9f803b7c-9687-4b92-b9c7-b525b1960d50,,,,,,,,DI,2024,,IQSS
7695516a-e6ef-4e83-a618-178f9ac6b58f,11bb42b8-169a-4e7d-8253-155668291dc6,,,,,,,,DI,2024,,IQSS
84e2d63c-8c1a-4f4a-94a2-63db0ae7553a,d1379025-1e54-43ce-8ac5-e9aff708d5c3,,,,,,,,DI,2024,,IQSS
84e2d63c-8c1a-4f4a-94a2-63db0ae7553a,516c7f41-1294-482e-a9a9-1c8c32427412,,,,,,,,DI,2024,,IQSS
2f37e23c-5f12-47c4-ab96-bc49b64ee301,21bca956-3f80-4990-bf5e-6a18bbff9dfd,77.19,76.47,86.01,80.53,77.44,66.01,69.65,A,2024,,IQSS
2f37e23c-5f12-47c4-ab96-bc49b64ee301,4687d22d-351a-4cdd-9e91-33a78d3d55f3,77.19,76.47,86.01,80.53,77.44,66.01,69.65,A,2024,,IQSS
dd7dd33a-0e7e-4cca-8745-6c5fd86d92c7,203fa53d-fbce-4ec5-86dd-cba59ea892b4,,,,,,,,DI,2024,,IQSS
dd7dd33a-0e7e-4cca-8745-6c5fd86d92c7,af1080d6-8ae3-46d8-8a62-cbd1613a26dc,,,,,,,,DI,2024,,IQSS
aa2a4ed6-0191-4192-b954-4f8fc63ebb7b,e602b45f-ba49-4af9-b151-0d43cd156fff,,,,,,,,DI,2024,,IQSS
aa2a4ed6-0191-4192-b954-4f8fc63ebb7b,63508a69-52c8-4db1-b34b-0fb71a6c69d1,,,,,,,,DI,2024,,IQSS
99d1edd8-ec47-40a3-a8ae-8d0e7d9c8580,65bfb44d-ae6d-4685-93a6-bd22b7d26c8b,,,,,,,,DI,2024,,IQSS
99d1edd8-ec47-40a3-a8ae-8d0e7d9c8580,7040be1d-48a2-43fb-9717-4d18e5eb66e6,,,,,,,,DI,2024,,IQSS
2914b02e-efb8-4bbe-9c7e-38b47d29d2a9,920feb00-ea60-4688-8e33-4312da097777,80.19,76.47,85.63,84.51,78.58,67.02,75.35,A,2024,,IQSS
